name,personal_number,no_ktp,passport_id,bod,process
Yani Fitriani,EMP-2025-5184,7578212006982515,JZG11506,1998-06-20,1
Lestari Dewi,EMP-2025-1605,3619291305850162,ZFY173845,1985-05-13,1
Ika Utomo,EMP-2025-2798,7535781409690786,YKI41051,1969-09-14,1
Oki Nurhaliza,EMP-2025-4082,7695352307656065,SEZ52498,1965-07-23,
Hana Fitriani,EMP-2025-1303,3340531411881477,SY5029809,1988-11-14,
Indra Hermawan,EMP-2025-2043,3462640701078723,AEV777279,2007-01-07,
Putri Kurniawan,EMP-2025-3688,3278580812758578,BV943319,1975-12-08,
Erna Susanto,EMP-2025-4338,3338392802044810,AQ239680,2004-02-28,
Bayu Wijaya,EMP-2025-5383,7408460605617543,JAX404158,1961-05-06,1
Candra Santoso,EMP-2025-7712,3220990404833705,JJX14813,1983-04-04,1
Ika Simatupang,EMP-2025-2191,3515251705860660,KIA999144,1986-05-17,1
Ahmad Maharani,EMP-2025-1798,7593951309952154,UD572639,1995-09-13,1
Gina Rahayu,EMP-2025-4060,3637632403687028,SE789281,1968-03-24,
Bayu Wulandari,EMP-2025-2437,7579242809779687,DK994600,1977-09-28,1
Ahmad Pratama,EMP-2025-1006,3529441501997852,QHH97281,1999-01-15,
Vina Handayani,EMP-2025-9938,6128370203034591,LG330058,2003-03-02,
Dian Fitriani,EMP-2025-4522,6196762502943904,PC1715961,1994-02-25,0
Yani Gunawan,EMP-2025-7770,3370803107914940,ND1528899,1991-07-31,
Jihan Dewi,EMP-2025-8582,3356091802046865,EH2909184,2004-02-18,
Indra Hidayat,EMP-2025-9216,3322570407066294,KHE550955,2006-07-04,1
Putri Kurniawan,EMP-2025-1952,3538912611849047,FN018927,1984-11-26,0
Oki Saputri,EMP-2025-6048,7515012712919915,CSO463088,1991-12-27,1
Candra Handayani,EMP-2025-4217,3433031305706259,VF268347,1970-05-13,0
Eko Maharani,EMP-2025-3032,7412640502777527,EM6011360,1977-02-05,0
Prima Suryanto,EMP-2025-2250,7483522210698631,PJ1089172,1969-10-22,0
Jihan Wijaya,EMP-2025-3315,3214700503911393,MO834252,1991-03-05,0
Hadi Purnomo,EMP-2025-8382,3214700906871681,DXA33296,1987-06-09,0
Tono Suryanto,EMP-2025-1250,3329140502865855,DYX615561,1986-02-05,1
Hadi Anggraini,EMP-2025-4349,6114350908056048,UW7114798,2005-08-09,1
Zaki Maharani,EMP-2025-2980,3619121810892090,JMM66199,1989-10-18,
Nia Dewi,EMP-2025-8786,7469690301058725,KP578203,2005-01-03,0
Oki Pratama,EMP-2025-0977,6172611910721805,JWU218992,1972-10-19,
Ahmad Anggraini,EMP-2025-0432,3416902608736185,JSR451112,1973-08-26,1
Ahmad Setiawan,EMP-2025-8642,3498241712022296,MSL218075,2002-12-17,1
Lina Kurniawan,EMP-2025-8223,7471921912839373,SLE591262,1983-12-19,
Budi Rahman,EMP-2025-5132,7578100311027822,VEU11068,2002-11-03,1
Citra Pratama,EMP-2025-9784,3470140409663472,TI6029557,1966-09-04,1
Joko Santoso,EMP-2025-6524,3340022310924627,IK970471,1992-10-23,
Hana Wulandari,EMP-2025-2642,7362760303644754,RC9226179,1964-03-03,
Joko Anggraini,EMP-2025-2150,7684671206917332,HQY873260,1991-06-12,
Qori Purnomo,EMP-2025-8965,7413021108735072,ML9123017,1973-08-11,1
Yani Sari,EMP-2025-8000,7484180912719319,JH891389,1971-12-09,
Fitri Handayani,EMP-2025-0935,7365582405840700,SO8213034,1984-05-24,1
Fajar Wijaya,EMP-2025-1407,7483690907021788,TX713394,2002-07-09,1
Budi Budiman,EMP-2025-2385,7405701510747700,IA087922,1974-10-15,
Candra Simatupang,EMP-2025-2323,7335331208761370,HC856280,1976-08-12,1
Joko Simatupang,EMP-2025-7791,3426450106987891,ZL858175,1998-06-01,
Citra Wati,EMP-2025-8183,6102201812012417,CZK998665,2001-12-18,
Erna Maharani,EMP-2025-6186,3554901909759846,JY3333814,1975-09-19,1
Candra Pertiwi,EMP-2025-5503,6146700801998572,YL155386,1999-01-08,1
Erna Saputra,EMP-2025-0270,7613121602701469,CTQ658682,1970-02-16,1
Qori Nurhaliza,EMP-2025-7602,3326612412715745,XQU03228,1971-12-24,1
Andi Kurniawan,EMP-2025-0431,3501543009630255,UV399291,1963-09-30,0
Kurnia Kusuma,EMP-2025-6605,7655170411952847,NLC567862,1995-11-04,1
Oki Nurhaliza,EMP-2025-0190,3512121202637167,AS5079671,1963-02-12,0
Eko Purnomo,EMP-2025-0848,7532932609944268,CDA191121,1994-09-26,1
Lina Hermawan,EMP-2025-6779,3551131311040360,MQ6339810,2004-11-13,
Nia Santoso,EMP-2025-7929,7605162807915682,ET1005181,1991-07-28,1
Qori Kusuma,EMP-2025-4484,3429110303724385,FCS48499,1972-03-03,0
Yani Susanto,EMP-2025-3373,3651140810882715,LLP86645,1988-10-08,
Putri Sari,EMP-2025-4147,3358220511638379,HVQ31841,1963-11-05,0
Gina Saputra,EMP-2025-0158,6148190901892004,RSF85365,1989-01-09,1
Lestari Santoso,EMP-2025-5207,7686102608987131,FBM941133,1998-08-26,1
Wati Setiawan,EMP-2025-4660,3283742603617566,VK3048433,1961-03-26,0
Uci Dewi,EMP-2025-4890,7541641401656445,MQX91281,1965-01-14,
Zaki Hidayat,EMP-2025-6044,7329221709683132,YW800326,1968-09-17,
Galih Hidayat,EMP-2025-2070,3418752302021965,WTX66524,2002-02-23,1
Zaki Wati,EMP-2025-1357,7429122506844854,OWR604264,1984-06-25,1
Maya Sari,EMP-2025-5109,3344270312065135,RWC239857,2006-12-03,1
Kurnia Sari,EMP-2025-1673,7322881505889458,LC2810642,1988-05-15,1
Indra Suryanto,EMP-2025-7060,7328200406968228,BHC74245,1996-06-04,1
Andi Wijaya,EMP-2025-1820,7556141604654079,CX252864,1965-04-16,0
Uci Hermawan,EMP-2025-5696,3664272802763336,SHA574392,1976-02-28,0
Putri Purnomo,EMP-2025-0209,3424432708012324,LAZ170340,2001-08-27,0
Yani Gunawan,EMP-2025-8607,3203732211863741,TU3747924,1986-11-22,0
Lestari Saputri,EMP-2025-9761,6139910310908485,CRS142930,1990-10-03,
Mira Maharani,EMP-2025-6190,7347272810683176,ZW981933,1968-10-28,1
Joko Wulandari,EMP-2025-2015,3625062206075625,UOU29464,2007-06-22,1
Ahmad Pratama,EMP-2025-7977,7672862805754975,BHL250346,1975-05-28,1
Zaki Maharani,EMP-2025-2541,3445370711059188,SD4920926,2005-11-07,1
Erna Saputra,EMP-2025-9240,3334391009882840,RIP241329,1988-09-10,0
Bayu Sari,EMP-2025-7241,7356130104738628,NRJ44405,1973-04-01,0
