name,personal_number,no_ktp,passport_id,bod,process
Fajar Wijaya,EMP-2025-4713,3659332808617623,BY642813,1961-08-28,0
Wati Rahman,EMP-2025-0360,7374461205874838,HOR978972,1987-05-12,
Yani Wulandari,EMP-2025-0646,3580333101731592,UAJ027115,1973-01-31,
Ahmad Hidayat,EMP-2025-5550,3622331701044836,MB8799837,2004-01-17,
Tono Pertiwi,EMP-2025-6243,3359480205849578,CGA92089,1984-05-02,1
Bayu Pertiwi,EMP-2025-8072,3318062602644987,CX3396557,1964-02-26,0
Maya Budiman,EMP-2025-6071,7479532911850537,LY065933,1985-11-29,0
Joko Lestari,EMP-2025-0350,7412850511799784,UG7285582,1979-11-05,
Indra Wijaya,EMP-2025-4107,3236192306728851,CW0723107,1972-06-23,
Andi Maharani,EMP-2025-9727,3361581804938409,LF7963609,1993-04-18,
Hadi Dewi,EMP-2025-1324,3363921008001205,PBH35254,2000-08-10,
Fitri Kurniawan,EMP-2025-3744,7593282605997399,ILK332964,1999-05-26,0
Devi Budiman,EMP-2025-9116,3356133103942132,PO648949,1994-03-31,1
Omar Suryanto,EMP-2025-8314,7640460902709469,EM3512245,1970-02-09,
Fitri Saputri,EMP-2025-2956,7504782210840475,SII116079,1984-10-22,
Candra Purnomo,EMP-2025-2579,3549540707015586,IIY817004,2001-07-07,
Nia Nurhaliza,EMP-2025-1865,7454352602808395,LHR53290,1980-02-26,0
Citra Maharani,EMP-2025-1966,3498331310865376,ML3758808,1986-10-13,0
Putri Maharani,EMP-2025-6627,7410413004999395,HKZ868908,1999-04-30,
Gina Utomo,EMP-2025-5563,7368112704965084,IE5173961,1996-04-27,1
Tono Lestari,EMP-2025-2903,3523781307741235,MOP86104,1974-07-13,1
Citra Gunawan,EMP-2025-5086,7608460105061216,LBV690535,2006-05-01,
Indra Wulandari,EMP-2025-2472,3542782706038215,LV906079,2003-06-27,
Nita Dewi,EMP-2025-6698,3447481203866348,RBQ00627,1986-03-12,0
Indra Sari,EMP-2025-5083,6111750307735732,DSC63179,1973-07-03,
Jihan Kurniawan,EMP-2025-5061,7366471406625941,YI191275,1962-06-14,
Dian Rahman,EMP-2025-9786,7505851101912148,EES703796,1991-01-11,
Fajar Dewi,EMP-2025-9346,3540612203786027,MHJ98812,1978-03-22,1
