name,personal_number,no_ktp,passport_id,bod,process
Erna Utomo,EMP-2025-3753,123,UK2983639,1989-11-28,
Candra Suryanto,EMP-2025-7020,34329621058495781,JZD00167,1984-05-21,
Qori Wulandari,EMP-2025-4120,7349772210028670,RC732107,2002-10-22,
Putri Susanto,EMP-2025-9978,7514810408878318,DT5413982,1987-08-04,
Tono Setiawan,EMP-2025-8728,3311943105041134,DM2842572,2004-05-31,
Hana Rahman,EMP-2025-4062,6157672704011983,BA5070003,2001-04-27,
Gina Pratama,EMP-2025-9441,7428700709729356,GMK044476,1972-09-07,
Fitri Fitriani,EMP-2025-8787,6114320201783117,DEM485098,1978-01-02,
Kurnia Hermawan,EMP-2025-6571,3453630101043503,EA274499,2004-01-01,
Nita Sari,EMP-2025-0959,7420250806873567,TB581901,1987-06-08,
